source	chapter	title	output_start_page	output_end_page	source_citation
Miller 10e	1	The Scope of Modern Anesthetic Practice	7	8	Source: Miller 10e, Chapter 1, Key Points, PDF pp. 23–24.
Miller 10e	2	Anesthesia and Global Health Equity	9	10	Source: Miller 10e, Chapter 2, Key Points, PDF p. 32.
Miller 10e	3	Perioperative Medicine	11	12	Source: Miller 10e, Chapter 3, Key Points, PDF pp. 76–77.
Miller 10e	4	Informatics in Perioperative Medicine	13	13	Source: Miller 10e, Chapter 4, Key Points, PDF p. 90.
Miller 10e	5	Quality Improvement in Anesthesia Practice and Patient Safety	14	15	Source: Miller 10e, Chapter 5, Key Points, PDF p. 109.
Miller 10e	6	Human Behavior and Simulation in Anesthesia	16	16	Source: Miller 10e, Chapter 6, Key Points, PDF p. 133.
Miller 10e	7	Ethical Aspects of Anesthesia Care	17	17	Source: Miller 10e, Chapter 7, Key Points, PDF p. 151.
Miller 10e	8	CONSCIOUSNESS, MEMORY, AND ANESTHESIA	18	18	Source: Miller 10e, Chapter 8, Key Points, PDF p. 172.
Miller 10e	9	Sleep Medicine	19	19	Source: Miller 10e, Chapter 9, Key Points, PDF p. 197.
Miller 10e	10	Cerebral Physiology and the Effects of Anesthetic Drugs	20	21	Source: Miller 10e, Chapter 10, Key Points, PDF p. 233.
Miller 10e	11	Neuromuscular Physiology and Pharmacology	22	23	Source: Miller 10e, Chapter 11, Key Points, PDF pp. 288–289.
Miller 10e	12	Respiratory Physiology and Pathophysiology	24	24	Source: Miller 10e, Chapter 12, Key Points, PDF p. 310.
Miller 10e	13	Cardiac Physiology	25	25	Source: Miller 10e, Chapter 13, Key Points, PDF p. 342.
Miller 10e	14	Gastrointestinal and Hepatic Physiology, Pathophysiology, and Anesthetic Considerations	26	27	Source: Miller 10e, Chapter 14, Key Points, PDF p. 364.
Miller 10e	15	Renal Anatomy, Physiology, Pharmacology, and Evaluation of Function	28	29	Source: Miller 10e, Chapter 15, Key Points, PDF p. 408.
Miller 10e	16	Basic Principles of Pharmacology	30	31	Source: Miller 10e, Chapter 16, Key Points, PDF p. 428.
Miller 10e	17	Inhaled Anesthetics: Mechanisms of Action	32	32	Source: Miller 10e, Chapter 17, Key Points, PDF p. 455.
Miller 10e	18	Inhaled Anesthetic Uptake, Distribution, Metabolism, and Toxicity	33	34	Source: Miller 10e, Chapter 18, Key Points, PDF pp. 484–485.
Miller 10e	19	Pulmonary Pharmacology of Inhaled Anesthetics	35	35	Source: Miller 10e, Chapter 19, Key Points, PDF p. 521.
Miller 10e	20	Inhaled Anesthetic Delivery Systems	36	38	Source: Miller 10e, Chapter 20, Key Points, PDF pp. 559–560.
Miller 10e	21	Intravenous Anesthetics	39	40	Source: Miller 10e, Chapter 21, Key Points, PDF pp. 619–620.
Miller 10e	22	Opioids	41	41	Source: Miller 10e, Chapter 22, Key Points, PDF p. 672.
Miller 10e	23	Intravenous Drug Delivery Systems	42	42	Source: Miller 10e, Chapter 23, Key Points, PDF p. 754.
Miller 10e	24	Pharmacology of Neuromuscular Blocking Drugs and Antagonists (Reversal Agents)	43	44	Source: Miller 10e, Chapter 24, Key Points, PDF pp. 814–815.
Miller 10e	25	Local Anesthetics	45	45	Source: Miller 10e, Chapter 25, Key Points, PDF p. 895.
Miller 10e	26	Immune Implications of Anesthesia Care and Practice	46	46	Source: Miller 10e, Chapter 26, Key Points, PDF p. 925.
Miller 10e	27	Risk of Anesthesia	47	47	Source: Miller 10e, Chapter 27, Key Points, PDF p. 939.
Miller 10e	28	Preoperative Evaluation	48	48	Source: Miller 10e, Chapter 28, Key Points, PDF p. 970.
Miller 10e	29	Anesthetic Implications of Concurrent Diseases	49	49	Source: Miller 10e, Chapter 29, Key Points, PDF p. 1048.
Miller 10e	30	Patient Positioning and Associated Risks	50	50	Source: Miller 10e, Chapter 30, Key Points, PDF p. 1112.
Miller 10e	31	Neuromuscular Disorders and Other Genetic Disorders	51	52	Source: Miller 10e, Chapter 31, Key Points, PDF pp. 1145–1146.
Miller 10e	32	Cardiovascular Monitoring	53	54	Source: Miller 10e, Chapter 32, Key Points, PDF pp. 1190–1191.
Miller 10e	33	Perioperative Echocardiography and Point-of-Care Ultrasound (POCUS)	55	55	Source: Miller 10e, Chapter 33, Key Points, PDF p. 1249.
Miller 10e	34	Implantable Cardiac Pulse Generators: Pacemakers and Cardioverter-Defibrillators	56	56	Source: Miller 10e, Chapter 34, Key Points, PDF p. 1305.
Miller 10e	35	Neurophysiologic Monitoring	57	57	Source: Miller 10e, Chapter 35, Key Points, PDF p. 1320.
Miller 10e	36	Monitoring the Brain’s Response to Anesthesia and Surgery	58	58	Source: Miller 10e, Chapter 36, Key Points, PDF p. 1359.
Miller 10e	37	Respiratory Monitoring	59	59	Source: Miller 10e, Chapter 37, Key Points, PDF p. 1383.
Miller 10e	38	Renal Pathophysiology and Treatment for Perioperative Ischemia and Nephrotoxic Injury	60	60	Source: Miller 10e, Chapter 38, Key Points, PDF p. 1436.
Miller 10e	39	Neuromuscular Monitoring	61	61	Source: Miller 10e, Chapter 39, Key Points, PDF p. 1454.
Miller 10e	40	Airway Management in the Adult	62	62	Source: Miller 10e, Chapter 40, Key Points, PDF p. 1476.
Miller 10e	41	Spinal, Epidural, and Caudal Anesthesia	63	63	Source: Miller 10e, Chapter 41, Key Points, PDF p. 1523.
Miller 10e	42	Peripheral Nerve Blocks and Ultrasound Guidance for Regional Anesthesia	64	64	Source: Miller 10e, Chapter 42, Key Points, PDF p. 1571.
Miller 10e	43	Perioperative Fluid and Electrolyte Therapy	65	65	Source: Miller 10e, Chapter 43, Key Points, PDF p. 1600.
Miller 10e	44	Perioperative Acid–Base Balance	66	66	Source: Miller 10e, Chapter 44, Key Points, PDF p. 1649.
Miller 10e	45	Patient Blood Management: Transfusion Therapy	67	67	Source: Miller 10e, Chapter 45, Key Points, PDF p. 1676.
Miller 10e	46	Patient Blood Management: Coagulation	68	68	Source: Miller 10e, Chapter 46, Key Points, PDF p. 1716.
Miller 10e	47	Management of the Patient with Chronic Pain	69	69	Source: Miller 10e, Chapter 47, Key Points, PDF p. 1747.
Miller 10e	48	Palliative Medicine	70	70	Source: Miller 10e, Chapter 48, Key Points, PDF p. 1769.
Miller 10e	49	Anesthesia for Thoracic Surgery	71	71	Source: Miller 10e, Chapter 49, Key Points, PDF p. 1807.
Miller 10e	50	Anesthesia for Cardiac Surgical Procedures	72	72	Source: Miller 10e, Chapter 50, Key Points, PDF p. 1887.
Miller 10e	51	Anesthesia for Correction of Cardiac Arrhythmias	73	73	Source: Miller 10e, Chapter 51, Key Points, PDF p. 2007.
Miller 10e	52	Anesthesia for Vascular Surgery	74	75	Source: Miller 10e, Chapter 52, Key Points, PDF p. 2022.
Miller 10e	53	Anesthesia for Neurologic Surgery and Neurointerventions	76	76	Source: Miller 10e, Chapter 53, Key Points, PDF p. 2071.
Miller 10e	54	Anesthesia for Bariatric Surgery	77	77	Source: Miller 10e, Chapter 54, Key Points, PDF p. 2124.
Miller 10e	55	Anesthesia and the Renal and Genitourinary Systems	78	79	Source: Miller 10e, Chapter 55, Key Points, PDF p. 2148.
Miller 10e	56	Anesthesia for Abdominal Organ Transplantation	80	80	Source: Miller 10e, Chapter 56, Key Points, PDF p. 2183.
Miller 10e	57	Anesthesia for Organ Procurement	81	81	Source: Miller 10e, Chapter 57, Key Points, PDF p. 2229.
Miller 10e	58	Anesthesia for Obstetrics	82	83	Source: Miller 10e, Chapter 58, Key Points, PDF p. 2244.
Miller 10e	59	Anesthesia for Fetal Surgery and Other Fetal Therapies	84	84	Source: Miller 10e, Chapter 59, Key Points, PDF p. 2289.
Miller 10e	60	Anesthesia for Orthopedic Surgery	85	86	Source: Miller 10e, Chapter 60, Key Points, PDF p. 2329.
